customer_id,segment,region,group,tenure_months,activity_index
1,Budget Occasional,West,treatment,107,1.7399
2,Mainstream,Midwest,treatment,118,0.8964
3,Budget Occasional,Northeast,treatment,35,0.9908
4,Budget Occasional,Southeast,treatment,59,0.6147
5,Digital Native,Southwest,treatment,84,1.4652
6,Dormant Reactivation,Southeast,treatment,64,0.7314
7,Digital Native,Northeast,treatment,52,1.5151
8,Mainstream,Southeast,treatment,9,2.9808
9,Dormant Reactivation,Midwest,control,25,0.5694
10,Mainstream,Southwest,control,11,1.3852
11,Digital Native,Midwest,treatment,107,2.2188
12,Digital Native,Northeast,treatment,14,0.7741
13,Digital Native,West,treatment,50,0.6706
14,Mainstream,Midwest,treatment,88,1.1348
15,Budget Occasional,Northeast,control,76,0.3932
16,Mainstream,West,treatment,22,0.6713
17,Digital Native,West,treatment,53,0.4751
18,Mainstream,Southeast,treatment,64,1.0614
19,Dormant Reactivation,Northeast,control,61,0.456
20,Digital Native,West,control,7,1.5372
21,Dormant Reactivation,Southeast,control,27,0.6167
22,Digital Native,Midwest,treatment,63,0.5927
23,Dormant Reactivation,Midwest,treatment,92,1.0856
24,Budget Occasional,Southeast,treatment,92,0.241
25,Mainstream,Northeast,control,51,0.5678
26,Mainstream,Southeast,control,85,0.7529
27,Affluent Frequent,Southeast,treatment,79,1.6857
28,Budget Occasional,Northeast,control,71,1.0252
29,Mainstream,West,treatment,55,1.1483
30,Digital Native,Midwest,control,88,0.8483
31,Dormant Reactivation,Northeast,control,12,0.9572
32,Mainstream,Southeast,treatment,6,0.8507
33,Dormant Reactivation,Midwest,treatment,70,1.3274
34,Budget Occasional,Midwest,treatment,100,0.503
35,Mainstream,Northeast,treatment,4,0.4869
36,Affluent Frequent,Southeast,control,42,1.6878
37,Digital Native,Midwest,control,86,0.8599
38,Affluent Frequent,Southwest,treatment,18,1.8942
39,Digital Native,Southeast,treatment,76,0.5281
40,Mainstream,Southeast,treatment,37,0.3876
41,Budget Occasional,Midwest,control,9,0.6485
42,Mainstream,West,control,48,1.1106
43,Mainstream,Northeast,control,47,0.9936
44,Dormant Reactivation,Southwest,treatment,70,1.0201
45,Digital Native,Southwest,control,8,0.2513
46,Mainstream,West,treatment,3,1.6902
47,Mainstream,Northeast,treatment,55,0.4918
48,Digital Native,Northeast,treatment,78,1.4917
49,Budget Occasional,Midwest,treatment,71,1.3775
50,Dormant Reactivation,West,control,17,2.1184
51,Mainstream,Midwest,treatment,65,1.4185
52,Digital Native,Midwest,treatment,98,0.4694
53,Mainstream,Southeast,treatment,24,0.5854
54,Budget Occasional,Southeast,control,28,0.6989
55,Mainstream,Northeast,control,33,0.6848
56,Affluent Frequent,Southeast,treatment,36,0.8019
57,Digital Native,Midwest,control,55,0.7909
58,Budget Occasional,Midwest,treatment,29,1.4526
59,Budget Occasional,Southeast,treatment,76,1.2672
60,Dormant Reactivation,Northeast,control,101,0.7943
61,Digital Native,West,control,35,0.22
62,Budget Occasional,Southeast,treatment,59,1.8774
63,Dormant Reactivation,Northeast,treatment,72,0.6083
64,Mainstream,Northeast,treatment,23,1.2076
65,Affluent Frequent,Northeast,treatment,95,0.9701
66,Mainstream,Southeast,control,76,0.3526
67,Budget Occasional,West,control,44,0.5007
68,Affluent Frequent,Midwest,treatment,52,0.4745
69,Dormant Reactivation,Northeast,control,13,1.0451
70,Budget Occasional,Northeast,treatment,28,0.391
71,Mainstream,Southeast,treatment,28,1.0984
72,Dormant Reactivation,Northeast,control,4,0.6771
73,Mainstream,West,control,49,0.6026
74,Affluent Frequent,Midwest,treatment,74,0.3006
75,Affluent Frequent,Northeast,treatment,28,0.9852
76,Mainstream,Southwest,control,79,1.8182
77,Mainstream,Southeast,treatment,49,0.9767
78,Budget Occasional,West,control,107,1.2413
79,Affluent Frequent,Northeast,treatment,47,1.2021
80,Affluent Frequent,West,control,110,0.1802
81,Digital Native,Southeast,treatment,19,0.7991
82,Digital Native,Northeast,treatment,36,0.3936
83,Digital Native,West,treatment,28,0.8608
84,Dormant Reactivation,Midwest,treatment,37,0.5617
85,Mainstream,Midwest,treatment,67,0.6131
86,Budget Occasional,Midwest,control,98,0.9093
87,Dormant Reactivation,Midwest,treatment,118,1.103
88,Affluent Frequent,Southwest,treatment,58,1.3651
89,Budget Occasional,West,control,6,1.6073
90,Mainstream,West,control,45,1.2063
91,Mainstream,West,treatment,71,0.8192
92,Digital Native,Southeast,control,38,1.3391
93,Digital Native,West,treatment,7,1.0988
94,Digital Native,West,treatment,107,0.8723
95,Digital Native,West,treatment,98,0.5178
96,Dormant Reactivation,West,control,40,0.4427
97,Budget Occasional,Midwest,treatment,50,0.6972
98,Mainstream,West,control,71,0.5361
99,Budget Occasional,West,treatment,40,0.3093
100,Budget Occasional,Midwest,control,99,1.4117
101,Mainstream,Northeast,control,89,0.4983
102,Budget Occasional,Northeast,control,17,1.1346
103,Dormant Reactivation,West,control,57,1.0459
104,Mainstream,Southwest,control,13,0.8856
105,Dormant Reactivation,Northeast,treatment,116,0.7717
106,Dormant Reactivation,Southeast,control,106,0.1646
107,Digital Native,Southeast,treatment,5,1.2172
108,Dormant Reactivation,Midwest,control,89,0.922
109,Affluent Frequent,Southeast,control,82,1.0401
110,Mainstream,Midwest,treatment,68,0.894
111,Mainstream,Southwest,treatment,39,1.2333
112,Mainstream,Southeast,treatment,47,0.6094
113,Budget Occasional,Northeast,control,77,0.8985
114,Mainstream,West,control,8,0.2392
115,Affluent Frequent,Midwest,control,16,0.3503
116,Mainstream,Southwest,treatment,27,1.0056
117,Budget Occasional,Northeast,treatment,24,1.6577
118,Affluent Frequent,Southeast,treatment,81,1.7666
119,Mainstream,Midwest,control,108,1.1555
