study_week,week_start,period,promotion_active
1,2025-01-13,pre,False
2,2025-01-20,pre,False
3,2025-01-27,pre,False
4,2025-02-03,pre,False
5,2025-02-10,pre,False
6,2025-02-17,pre,False
7,2025-02-24,pre,False
8,2025-03-03,pre,False
9,2025-03-10,pre,False
10,2025-03-17,pre,False
11,2025-03-24,pre,False
12,2025-03-31,pre,False
13,2025-04-07,post,True
14,2025-04-14,post,True
15,2025-04-21,post,True
16,2025-04-28,post,True
17,2025-05-05,post,True
18,2025-05-12,post,True
19,2025-05-19,post,True
20,2025-05-26,post,True
21,2025-06-02,post,True
22,2025-06-09,post,True
23,2025-06-16,post,True
24,2025-06-23,post,True
