customer_id,period,spend,txns,eligible_spend,cashback,segment,region,group,tenure_months,post,treat
1,pre,918.34,21.0,125.68,0.0,Budget Occasional,West,treatment,107,0,1
1,post,616.78,18.0,48.39,1.46,Budget Occasional,West,treatment,107,1,1
2,pre,950.87,21.0,161.66000000000003,0.0,Mainstream,Midwest,treatment,118,0,1
2,post,903.53,17.0,179.41,5.38,Mainstream,Midwest,treatment,118,1,1
3,pre,471.1,9.0,99.28999999999999,0.0,Budget Occasional,Northeast,treatment,35,0,1
3,post,232.85,7.0,135.07999999999998,4.05,Budget Occasional,Northeast,treatment,35,1,1
4,pre,228.22,7.0,0.0,0.0,Budget Occasional,Southeast,treatment,59,0,1
4,post,100.3,4.0,0.0,0.0,Budget Occasional,Southeast,treatment,59,1,1
5,pre,1600.1200000000001,45.0,184.14000000000001,0.0,Digital Native,Southwest,treatment,84,0,1
5,post,2026.64,45.0,287.92,8.64,Digital Native,Southwest,treatment,84,1,1
6,pre,181.89000000000001,7.0,17.35,0.0,Dormant Reactivation,Southeast,treatment,64,0,1
6,post,191.97,5.0,32.260000000000005,0.97,Dormant Reactivation,Southeast,treatment,64,1,1
7,pre,2932.19,53.0,556.26,0.0,Digital Native,Northeast,treatment,52,0,1
7,post,2430.12,61.0,587.11,17.62,Digital Native,Northeast,treatment,52,1,1
8,pre,3142.78,60.0,603.28,0.0,Mainstream,Southeast,treatment,9,0,1
8,post,4184.83,57.0,504.17,15.13,Mainstream,Southeast,treatment,9,1,1
9,pre,51.489999999999995,2.0,20.22,0.0,Dormant Reactivation,Midwest,control,25,0,0
9,post,127.56,3.0,17.67,0.0,Dormant Reactivation,Midwest,control,25,1,0
10,pre,932.79,21.0,94.51,0.0,Mainstream,Southwest,control,11,0,0
10,post,1853.02,27.0,88.84,0.0,Mainstream,Southwest,control,11,1,0
11,pre,1872.87,51.0,638.6,0.0,Digital Native,Midwest,treatment,107,0,1
11,post,2939.96,74.0,574.48,17.23,Digital Native,Midwest,treatment,107,1,1
12,pre,977.5,24.0,167.38,0.0,Digital Native,Northeast,treatment,14,0,1
12,post,1228.42,32.0,374.02,11.2,Digital Native,Northeast,treatment,14,1,1
13,pre,810.47,22.0,359.58,0.0,Digital Native,West,treatment,50,0,1
13,post,1252.29,27.0,204.99,6.15,Digital Native,West,treatment,50,1,1
14,pre,1113.58,24.0,122.45,0.0,Mainstream,Midwest,treatment,88,0,1
14,post,1128.61,22.0,88.49,2.65,Mainstream,Midwest,treatment,88,1,1
15,pre,42.760000000000005,2.0,0.0,0.0,Budget Occasional,Northeast,control,76,0,0
15,post,234.5,4.0,0.0,0.0,Budget Occasional,Northeast,control,76,1,0
16,pre,863.8800000000001,13.0,129.54000000000002,0.0,Mainstream,West,treatment,22,0,1
16,post,994.47,16.0,160.35,4.800000000000001,Mainstream,West,treatment,22,1,1
17,pre,1159.48,23.0,312.59,0.0,Digital Native,West,treatment,53,0,1
17,post,725.01,23.0,183.26999999999998,5.5,Digital Native,West,treatment,53,1,1
18,pre,936.8100000000001,13.0,195.06,0.0,Mainstream,Southeast,treatment,64,0,1
18,post,1175.29,18.0,24.22,0.73,Mainstream,Southeast,treatment,64,1,1
19,pre,451.62,7.0,85.11,0.0,Dormant Reactivation,Northeast,control,61,0,0
19,post,241.06,3.0,0.0,0.0,Dormant Reactivation,Northeast,control,61,1,0
20,pre,2055.44,46.0,617.03,0.0,Digital Native,West,control,7,0,0
20,post,1443.31,45.0,520.26,0.0,Digital Native,West,control,7,1,0
21,pre,188.95999999999998,7.0,0.0,0.0,Dormant Reactivation,Southeast,control,27,0,0
21,post,132.65,5.0,39.02,0.0,Dormant Reactivation,Southeast,control,27,1,0
22,pre,820.3199999999999,17.0,150.68,0.0,Digital Native,Midwest,treatment,63,0,1
22,post,597.6800000000001,19.0,279.09,8.36,Digital Native,Midwest,treatment,63,1,1
23,pre,274.44,6.0,0.0,0.0,Dormant Reactivation,Midwest,treatment,92,0,1
23,post,423.63,9.0,0.0,0.0,Dormant Reactivation,Midwest,treatment,92,1,1
24,pre,0.0,0.0,0.0,0.0,Budget Occasional,Southeast,treatment,92,0,1
24,post,279.77,4.0,25.33,0.76,Budget Occasional,Southeast,treatment,92,1,1
25,pre,741.98,12.0,106.24000000000001,0.0,Mainstream,Northeast,control,51,0,0
25,post,602.43,7.0,74.06,0.0,Mainstream,Northeast,control,51,1,0
26,pre,1258.42,21.0,49.57,0.0,Mainstream,Southeast,control,85,0,0
26,post,877.37,18.0,168.4,0.0,Mainstream,Southeast,control,85,1,0
27,pre,5743.54,53.0,955.1600000000001,0.0,Affluent Frequent,Southeast,treatment,79,0,1
27,post,6827.32,66.0,958.06,28.73,Affluent Frequent,Southeast,treatment,79,1,1
28,pre,301.35,7.0,13.68,0.0,Budget Occasional,Northeast,control,71,0,0
28,post,516.48,11.0,62.67,0.0,Budget Occasional,Northeast,control,71,1,0
29,pre,1443.1799999999998,25.0,210.41,0.0,Mainstream,West,treatment,55,0,1
29,post,2443.19,31.0,242.45000000000002,7.279999999999999,Mainstream,West,treatment,55,1,1
30,pre,1082.9,24.0,147.87,0.0,Digital Native,Midwest,control,88,0,0
30,post,1021.38,30.0,324.08,0.0,Digital Native,Midwest,control,88,1,0
31,pre,221.37,9.0,46.400000000000006,0.0,Dormant Reactivation,Northeast,control,12,0,0
31,post,307.3,8.0,17.23,0.0,Dormant Reactivation,Northeast,control,12,1,0
32,pre,956.15,16.0,121.50999999999999,0.0,Mainstream,Southeast,treatment,6,0,1
32,post,1494.83,22.0,116.09,3.48,Mainstream,Southeast,treatment,6,1,1
33,pre,315.39,9.0,18.44,0.0,Dormant Reactivation,Midwest,treatment,70,0,1
33,post,473.48,11.0,114.14,3.42,Dormant Reactivation,Midwest,treatment,70,1,1
34,pre,245.94,6.0,0.0,0.0,Budget Occasional,Midwest,treatment,100,0,1
34,post,340.65999999999997,9.0,50.71,1.53,Budget Occasional,Midwest,treatment,100,1,1
35,pre,429.25,10.0,35.58,0.0,Mainstream,Northeast,treatment,4,0,1
35,post,638.21,11.0,82.75,2.49,Mainstream,Northeast,treatment,4,1,1
36,pre,2337.47,41.0,685.95,0.0,Affluent Frequent,Southeast,control,42,0,0
36,post,6482.71,65.0,1541.83,0.0,Affluent Frequent,Southeast,control,42,1,0
37,pre,1196.45,31.0,188.85,0.0,Digital Native,Midwest,control,86,0,0
37,post,1798.99,29.0,189.46,0.0,Digital Native,Midwest,control,86,1,0
38,pre,5530.27,69.0,1058.77,0.0,Affluent Frequent,Southwest,treatment,18,0,1
38,post,6125.58,64.0,917.25,27.53,Affluent Frequent,Southwest,treatment,18,1,1
39,pre,783.41,19.0,196.49,0.0,Digital Native,Southeast,treatment,76,0,1
39,post,263.63,10.0,68.38,2.05,Digital Native,Southeast,treatment,76,1,1
40,pre,346.68,7.0,99.06,0.0,Mainstream,Southeast,treatment,37,0,1
40,post,425.42,9.0,184.60999999999999,5.54,Mainstream,Southeast,treatment,37,1,1
41,pre,223.07,7.0,46.75,0.0,Budget Occasional,Midwest,control,9,0,0
41,post,225.49,8.0,34.82,0.0,Budget Occasional,Midwest,control,9,1,0
42,pre,2059.35,28.0,267.75,0.0,Mainstream,West,control,48,0,0
42,post,1493.9,25.0,239.59,0.0,Mainstream,West,control,48,1,0
43,pre,1618.3799999999999,23.0,135.32,0.0,Mainstream,Northeast,control,47,0,0
43,post,1505.6599999999999,19.0,145.41,0.0,Mainstream,Northeast,control,47,1,0
44,pre,150.45999999999998,2.0,19.86,0.0,Dormant Reactivation,Southwest,treatment,70,0,1
44,post,197.45999999999998,5.0,37.06,1.11,Dormant Reactivation,Southwest,treatment,70,1,1
45,pre,247.14999999999998,10.0,66.14999999999999,0.0,Digital Native,Southwest,control,8,0,0
45,post,400.24,8.0,11.45,0.0,Digital Native,Southwest,control,8,1,0
46,pre,1600.06,35.0,399.71,0.0,Mainstream,West,treatment,3,0,1
46,post,3861.48,59.0,760.31,22.79,Mainstream,West,treatment,3,1,1
47,pre,261.85,6.0,80.21,0.0,Mainstream,Northeast,treatment,55,0,1
47,post,773.79,10.0,89.48,2.6900000000000004,Mainstream,Northeast,treatment,55,1,1
