study_week,group,spend,txns,spend_per_customer,period,promotion_active
1,control,560905.65,8868,112.76752110977081,pre,False
1,treatment,594223.25,9039,118.22985475527258,pre,False
2,control,586629.25,9051,117.93913349416968,pre,False
2,treatment,606261.26,9301,120.6250019896538,pre,False
3,control,580959.45,8823,116.79924607961398,pre,False
3,treatment,584515.09,9035,116.29826701153999,pre,False
4,control,587216.16,9011,118.0571290711701,pre,False
4,treatment,597383.07,9287,118.85854954237962,pre,False
5,control,575964.23,8894,115.79497989545636,pre,False
5,treatment,599869.35,9198,119.35323318742539,pre,False
6,control,564689.69,8798,113.52828508242862,pre,False
6,treatment,592743.63,9080,117.93546159968166,pre,False
7,control,576299.91,8907,115.86246682750303,pre,False
7,treatment,594171.9,9039,118.21963788300836,pre,False
8,control,582729.1,8996,117.15502613590671,pre,False
8,treatment,601812.88,9159,119.7399283724632,pre,False
9,control,573064.81,8938,115.2120647366305,pre,False
9,treatment,579425.0,8960,115.28551532033426,pre,False
10,control,572218.03,8954,115.04182348210696,pre,False
10,treatment,594949.32,9044,118.3743175487465,pre,False
11,control,583011.59,8796,117.21181946119822,pre,False
11,treatment,596140.08,9185,118.61123756466374,pre,False
12,control,585381.36,8837,117.68825090470446,pre,False
12,treatment,598354.14,9077,119.05175885395941,pre,False
13,control,596324.53,9101,119.88832529151588,post,True
13,treatment,646471.75,10188,128.62549741345006,post,True
14,control,598112.14,9354,120.24771612384399,post,True
14,treatment,657450.65,10174,130.8099184241942,post,True
15,control,594679.63,9210,119.55762565339766,post,True
15,treatment,640182.46,9993,127.37414643851969,post,True
16,control,602493.4,9130,121.12854845195015,post,True
16,treatment,649928.7,10073,129.31331078392358,post,True
17,control,604318.06,9198,121.49538801769201,post,True
17,treatment,649806.15,10208,129.28892757660168,post,True
18,control,601910.92,9236,121.01144350623241,post,True
18,treatment,657011.15,10310,130.7224731396737,post,True
19,control,594373.82,9108,119.49614394853236,post,True
19,treatment,657288.94,10009,130.77774373259052,post,True
20,control,597155.19,9114,120.05532569360675,post,True
20,treatment,663822.81,10225,132.07775766016715,post,True
21,control,584913.56,9164,117.59420184961803,post,True
21,treatment,658939.9,10154,131.10622761639476,post,True
22,control,580098.36,8938,116.62612786489747,post,True
22,treatment,674126.61,10197,134.12785714285715,post,True
23,control,598366.06,9338,120.29876558102133,post,True
23,treatment,636683.5,9843,126.67797453243136,post,True
24,control,617034.74,9419,124.05201849618014,post,True
24,treatment,652518.49,9881,129.82858933545563,post,True
