customer_id,period,segment,region,test_group,spend,txns,eligible_spend
1,pre,Budget Occasional,West,treatment,918.34,21.0,125.68
1,post,Budget Occasional,West,treatment,616.78,18.0,48.39
2,pre,Mainstream,Midwest,treatment,950.87,21.0,161.66000000000005
2,post,Mainstream,Midwest,treatment,903.53,17.0,179.41
3,pre,Budget Occasional,Northeast,treatment,471.1,9.0,99.29
3,post,Budget Occasional,Northeast,treatment,232.85,7.0,135.07999999999998
4,pre,Budget Occasional,Southeast,treatment,228.22,7.0,0.0
4,post,Budget Occasional,Southeast,treatment,100.3,4.0,0.0
5,pre,Digital Native,Southwest,treatment,1600.12,45.0,184.14
5,post,Digital Native,Southwest,treatment,2026.64,45.0,287.92
6,pre,Dormant Reactivation,Southeast,treatment,181.89,7.0,17.35
6,post,Dormant Reactivation,Southeast,treatment,191.97,5.0,32.260000000000005
7,pre,Digital Native,Northeast,treatment,2932.19,53.0,556.26
7,post,Digital Native,Northeast,treatment,2430.12,61.0,587.11
8,pre,Mainstream,Southeast,treatment,3142.78,60.0,603.28
8,post,Mainstream,Southeast,treatment,4184.83,57.0,504.17
9,pre,Dormant Reactivation,Midwest,control,51.49,2.0,20.22
9,post,Dormant Reactivation,Midwest,control,127.56,3.0,17.67
10,pre,Mainstream,Southwest,control,932.79,21.0,94.51
10,post,Mainstream,Southwest,control,1853.02,27.0,88.84
11,pre,Digital Native,Midwest,treatment,1872.87,51.0,638.6
11,post,Digital Native,Midwest,treatment,2939.96,74.0,574.48
12,pre,Digital Native,Northeast,treatment,977.5,24.0,167.38
12,post,Digital Native,Northeast,treatment,1228.42,32.0,374.02
13,pre,Digital Native,West,treatment,810.47,22.0,359.58
13,post,Digital Native,West,treatment,1252.29,27.0,204.99
14,pre,Mainstream,Midwest,treatment,1113.58,24.0,122.45
14,post,Mainstream,Midwest,treatment,1128.61,22.0,88.49
15,pre,Budget Occasional,Northeast,control,42.760000000000005,2.0,0.0
15,post,Budget Occasional,Northeast,control,234.5,4.0,0.0
16,pre,Mainstream,West,treatment,863.8800000000001,13.0,129.54000000000002
16,post,Mainstream,West,treatment,994.47,16.0,160.35
17,pre,Digital Native,West,treatment,1159.48,23.0,312.59
17,post,Digital Native,West,treatment,725.01,23.0,183.27
18,pre,Mainstream,Southeast,treatment,936.81,13.0,195.06
18,post,Mainstream,Southeast,treatment,1175.29,18.0,24.22
19,pre,Dormant Reactivation,Northeast,control,451.62,7.0,85.11
19,post,Dormant Reactivation,Northeast,control,241.06,3.0,0.0
20,pre,Digital Native,West,control,2055.44,46.0,617.03
20,post,Digital Native,West,control,1443.31,45.0,520.26
21,pre,Dormant Reactivation,Southeast,control,188.96,7.0,0.0
21,post,Dormant Reactivation,Southeast,control,132.65,5.0,39.02
22,pre,Digital Native,Midwest,treatment,820.3199999999999,17.0,150.68
22,post,Digital Native,Midwest,treatment,597.6800000000001,19.0,279.09
23,pre,Dormant Reactivation,Midwest,treatment,274.44,6.0,0.0
23,post,Dormant Reactivation,Midwest,treatment,423.63,9.0,0.0
24,pre,Budget Occasional,Southeast,treatment,0.0,0.0,0.0
24,post,Budget Occasional,Southeast,treatment,279.77,4.0,25.33
25,pre,Mainstream,Northeast,control,741.98,12.0,106.24
25,post,Mainstream,Northeast,control,602.43,7.0,74.06
26,pre,Mainstream,Southeast,control,1258.42,21.0,49.57
26,post,Mainstream,Southeast,control,877.37,18.0,168.4
27,pre,Affluent Frequent,Southeast,treatment,5743.54,53.0,955.16
27,post,Affluent Frequent,Southeast,treatment,6827.32,66.0,958.06
28,pre,Budget Occasional,Northeast,control,301.35,7.0,13.68
28,post,Budget Occasional,Northeast,control,516.48,11.0,62.67
29,pre,Mainstream,West,treatment,1443.1799999999998,25.0,210.41
29,post,Mainstream,West,treatment,2443.19,31.0,242.45
30,pre,Digital Native,Midwest,control,1082.9,24.0,147.87
