txn_date,customer_id,segment,region,test_group,merchant_category,is_eligible_category,period,study_week,amount,cashback_earned
2025-01-13,8303,Mainstream,Midwest,control,Dining,True,pre,1,32.5,0.0
2025-01-13,5886,Budget Occasional,West,control,Grocery,False,pre,1,22.58,0.0
2025-01-13,3185,Mainstream,Southeast,treatment,Electronics,False,pre,1,128.52,0.0
2025-01-13,905,Digital Native,Midwest,control,OnlineRetail,False,pre,1,24.5,0.0
2025-01-13,8385,Dormant Reactivation,Northeast,control,Dining,True,pre,1,23.68,0.0
2025-01-13,3144,Budget Occasional,West,control,Travel,False,pre,1,73.42,0.0
2025-01-13,8421,Digital Native,Midwest,control,OnlineRetail,False,pre,1,11.5,0.0
2025-01-13,8737,Budget Occasional,Southeast,control,Fuel,False,pre,1,9.8,0.0
2025-01-13,2274,Mainstream,West,control,Fuel,False,pre,1,17.82,0.0
2025-01-13,544,Digital Native,Southwest,control,Fuel,False,pre,1,30.64,0.0
2025-01-13,42,Mainstream,West,control,Electronics,False,pre,1,156.3,0.0
2025-01-13,7305,Affluent Frequent,Northeast,control,Grocery,False,pre,1,102.44,0.0
2025-01-13,2191,Digital Native,Northeast,control,Fuel,False,pre,1,29.55,0.0
2025-01-13,3578,Digital Native,Northeast,control,Grocery,False,pre,1,16.88,0.0
2025-01-13,9809,Digital Native,Northeast,treatment,Entertainment,True,pre,1,19.71,0.0
2025-01-13,9823,Affluent Frequent,Southeast,control,Entertainment,True,pre,1,46.64,0.0
2025-01-13,1039,Affluent Frequent,Northeast,treatment,Grocery,False,pre,1,85.93,0.0
2025-01-13,1508,Digital Native,Southeast,control,Electronics,False,pre,1,42.15,0.0
2025-01-13,6522,Mainstream,West,treatment,Apparel,False,pre,1,55.68,0.0
2025-01-13,9606,Affluent Frequent,West,control,Dining,True,pre,1,48.53,0.0
2025-01-13,2123,Mainstream,Southeast,treatment,Apparel,False,pre,1,48.0,0.0
2025-01-13,6588,Affluent Frequent,Midwest,control,Fuel,False,pre,1,43.03,0.0
