study_week,test_group,period,promotion_active,spend,txns,spend_per_customer
1,control,pre,False,560905.65,8868,112.7675211097708
1,treatment,pre,False,594223.25,9039,118.22985475527258
2,control,pre,False,586629.25,9051,117.93913349416968
2,treatment,pre,False,606261.26,9301,120.6250019896538
3,control,pre,False,580959.45,8823,116.79924607961398
3,treatment,pre,False,584515.09,9035,116.29826701154
4,control,pre,False,587216.16,9011,118.0571290711701
4,treatment,pre,False,597383.07,9287,118.85854954237962
5,control,pre,False,575964.23,8894,115.79497989545636
5,treatment,pre,False,599869.35,9198,119.3532331874254
6,control,pre,False,564689.69,8798,113.52828508242862
6,treatment,pre,False,592743.63,9080,117.93546159968166
7,control,pre,False,576299.91,8907,115.86246682750304
7,treatment,pre,False,594171.9,9039,118.21963788300836
8,control,pre,False,582729.1,8996,117.15502613590672
8,treatment,pre,False,601812.88,9159,119.7399283724632
9,control,pre,False,573064.81,8938,115.2120647366305
9,treatment,pre,False,579425.0,8960,115.28551532033426
10,control,pre,False,572218.03,8954,115.04182348210696
10,treatment,pre,False,594949.32,9044,118.3743175487465
11,control,pre,False,583011.59,8796,117.21181946119822
11,treatment,pre,False,596140.08,9185,118.61123756466374
12,control,pre,False,585381.36,8837,117.68825090470446
12,treatment,pre,False,598354.14,9077,119.0517588539594
13,control,post,True,596324.53,9101,119.88832529151588
13,treatment,post,True,646471.75,10188,128.62549741345006
14,control,post,True,598112.14,9354,120.247716123844
14,treatment,post,True,657450.65,10174,130.8099184241942
15,control,post,True,594679.63,9210,119.55762565339766
15,treatment,post,True,640182.46,9993,127.37414643851967
16,control,post,True,602493.4,9130,121.12854845195017
16,treatment,post,True,649928.7,10073,129.31331078392358
17,control,post,True,604318.06,9198,121.495388017692
17,treatment,post,True,649806.15,10208,129.28892757660168
18,control,post,True,601910.92,9236,121.0114435062324
18,treatment,post,True,657011.15,10310,130.7224731396737
19,control,post,True,594373.82,9108,119.49614394853236
19,treatment,post,True,657288.94,10009,130.77774373259052
20,control,post,True,597155.19,9114,120.05532569360676
20,treatment,post,True,663822.81,10225,132.07775766016715
21,control,post,True,584913.56,9164,117.59420184961805
21,treatment,post,True,658939.9,10154,131.10622761639476
22,control,post,True,580098.36,8938,116.62612786489748
22,treatment,post,True,674126.61,10197,134.12785714285715
23,control,post,True,598366.06,9338,120.29876558102131
23,treatment,post,True,636683.5,9843,126.67797453243136
24,control,post,True,617034.74,9419,124.05201849618014
24,treatment,post,True,652518.49,9881,129.82858933545563
